time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport
2020-07-03T03:08:27.805949466Z,27b82e1d,TR0uuCdh6uwee9JGovvUnma6r0A3CtZIlioeJjFpZI4U8uhfHkJQ6J5xlsJcXj4H7nKy4EoGayTw+jXuIxWnQTXlmJ7MIkfsR5Lb970+PSPhIqMvXJbVgVAr4369vdAzFDPRgF7FejdbwE6T0oCHvtv9VOzvK75yaOYlju49MzXG3+K8Z0GBq3GLFFqf7oEd37YYryNM4aZ7z6WcNcG2LY80b/Uz/HGuC3LDtz/n3WSFKhjn6eK0cFubkiTf7h0cE4LIn8T/mxz0oQcm+RRWy3TnEby07KVn+MJ5i/MEmB69ISugCS+IObr2trguNdR5+J0=,00800000a0001793,-1,868300000,7,250,4/5,-98,-11.8,-1,010,60650,123
2020-07-03T03:06:00.293278Z,-1,,7276ff002e062804,-1,868100000,9,125,4/5,-101,-12.2,-1,-1,-1,-1
2020-07-03T03:06:16.539780Z,2601242c,QCwkASYAHioBvN8IgLZo1mRGr6CZyfkjPSnXrodAWNdZ+cwIuuT6GhqHjmIRxhdX1mIi3Mk3fefpraTji4Y=,7276ff002e062804,1,868500000,12,125,4/5,-93,-21,-1,010,10782,1
2020-07-03T03:06:56.232371Z,2601231c,QBwjASYArQsFbMqmtl+XrCgzoj2mkDWVtkpBYy5z/Ocq6Z5Ke8E=,7276ff002e062804,1,868500000,12,125,4/5,-97,-17,-1,010,2989,5
2020-07-03T03:07:00.289860Z,-1,,7276ff002e062804,-1,868300000,9,125,4/5,-107,-12.2,-1,-1,-1,-1
2020-07-03T03:07:07.800431Z,-1,,7276ff002e062804,-1,868500000,7,125,4/5,-101,-6.8,-1,-1,-1,-1
2020-07-03T03:07:18.474203Z,-1,,7276ff002e062804,-1,868300000,7,125,4/5,-104,-11.2,-1,-1,-1,-1
2020-07-03T03:07:30.272343Z,-1,,7276ff002e062804,-1,868500000,9,125,4/5,-102,-12.8,-1,-1,-1,-1
2020-07-03T03:08:02.260019Z,04a034ed,QO00oASAGgMBXykb3V96RE4gTZczFq6mIouu1XgHLt24,7276ff002e062804,1,868500000,7,125,4/5,-101,-6.8,-1,010,794,1
2020-07-03T03:08:12.240839Z,04a04aa5,QKVKoASAPBQBWuGk42PTygVjJoraYSbiYwPd9Si1RRJk,7276ff002e062804,1,868500000,7,125,4/5,-96,2,-1,010,5180,1
2020-07-03T03:08:21.128490Z,26012eae,QK4uASYA7QoFUd75LCyo75YzGpjQ+3vCVOSU6VLA651Bm4R0kYw=,7276ff002e062804,1,868100000,12,125,4/5,-98,-12,-1,010,2797,5
2020-07-03T03:08:27.620108Z,-1,,7276ff002e062804,-1,868100000,12,125,4/5,-99,-14.8,-1,-1,-1,-1
2020-07-03T03:08:45.259051Z,-1,,7276ff002e062804,-1,868300000,12,125,4/5,-93,-19.5,-1,-1,-1,-1
2020-07-03T03:08:46.261586Z,-1,,7276ff002e062804,-1,867700000,7,125,???,-116,-11.5,-1,-1,-1,-1
2020-07-03T03:08:53.277574Z,-1,,7276ff002e062804,-1,867900000,11,125,4/5,-97,-20,-1,-1,-1,-1
2020-07-03T03:09:06.459153Z,26012682,QIImASYAS5YB5uNZtpOJ7m/PXg==,0000024b0b031c97,1,867300000,7,125,4/5,-75,9.2,-1,010,38475,1
2020-07-03T03:09:08.664257Z,004c0eb4,QLQOTACANAAFlN/A5EYtZSmpGt34ikIJvyOpcnw=,0000024b0b031c97,1,867300000,9,125,4/5,-97,-1.5,-1,010,52,5
2020-07-03T03:09:17.188676Z,000cedbb,QLvtDACAMB5mgzq/I+SF0IZZ2BG2,0000024b0b031c97,1,868100000,7,125,4/5,-108,-5,-1,010,7728,102
2020-07-03T03:09:21.147954Z,04a0447b,QHtEoASAfQABlIR7oL08yFcN8PZOiwil3CrPLE0Y/yzH,0000024b0b031c97,1,868100000,7,125,4/5,-101,-5.5,-1,010,125,1
2020-07-03T03:09:24.164107Z,26012461,QGEkASaACnsFVaz6/NCYfBddnuy8dB5oOA8ncP1t,0000024b0b031c97,1,868300000,12,125,4/5,-101,-7.2,-1,010,31498,5
2020-07-03T03:09:28.604234Z,26012682,QIImASYATJYBl/RxwdeLA00Mbg==,0000024b0b031c97,1,868500000,7,125,4/5,-77,7.5,-1,010,38476,1
2020-07-03T03:09:30.306552Z,20000100,QAABACCAWoMKfFQNhXsRD8wV9oA=,0000024b0b031c97,1,868100000,7,125,4/5,-107,-1.5,-1,010,33626,10
2020-07-03T03:09:31.285290Z,3004cdda,QNrNBDCAvCcFdzWHBSANvDX4,0000024b0b031c97,1,868100000,8,125,4/5,-101,0,-1,010,10172,5
2020-07-03T03:09:33.157610Z,2601297d,QH0pASaA2dsFUGLA7VhUS9ECUAfyOhq67Ch4Ifo=,0000024b0b031c97,1,867100000,12,125,4/5,-95,1.8,-1,010,56281,5
2020-07-03T03:09:49.036507Z,20000009,QAkAACCAruEKfd+uGhicIUqg7fbluYxQMKs=,0000024b0b031c97,1,868500000,7,125,4/5,-107,-5,-1,010,57774,10
2020-07-03T03:09:50.749010Z,26012682,QIImASYATZYBv99MAzRYWHdHzA==,0000024b0b031c97,1,868100000,7,125,4/5,-79,10.2,-1,010,38477,1
2020-07-03T03:09:57.220137Z,27007d4b,gEt9ACcAXScCoDr9NkCHe0Z+ubUt9NpP39nNEZkGSSjCLB3rW4h2d2aW+Ir1ZE9wJ6fayZBqnxSjfFqBosKIjNIQUYpWoekhDUZ1gtLAegmNQnoFeXjRX9PdJKx9g5KLICZVQq6uVeaeB1GxRH97HvjRnsasJm+C7dt5LnX6yWeUpVL3GKVh0Ash1nShm8ouz+ph7ovXx87saGa6XsT3D6A0E8NC7Bz4yeb3uZVN9DdacEyQnOfRrI53WHEP1mKXgWxAGcOar0YFjYOAOuflrNWCJxAnCDFsMrruQBWr08dCWDGMvf7m7r/l4BFfVseWFStPVnLluYz/jJ2h1GG7,0000024b0b031c97,1,867100000,8,125,4/5,-107,4.5,-1,100,10077,2
2020-07-03T03:10:03.044969Z,2601241c,QBwkASaARiQFiSaRJKK890/hqZArtfFRyWa+C6U=,0000024b0b031c97,1,868300000,12,125,4/5,-96,-7.8,-1,010,9286,5
2020-07-03T03:10:04.915600Z,27007d19,QBl9ACcABQAC0UazmavrsAa0YHfR9nsnj8DgElzh,0000024b0b031c97,1,868500000,8,125,4/5,-97,0.5,-1,010,5,2
